"id1","id2","materials_1","ObjectTypes_1","materials_2","ObjectTypes_2","element_to_change","element_changed","partition","query"
"art_002582","art_014219, art_003913","material tèxtil | drap","bodegó $ contenidor | atuell | pot $ contenidor | atuell | pitxell $ component biològic | part de planta | flor $ component biològic | part de planta | fulla $ contenidor | contenidor culinari | recipient per beure | tassa $ pintura | pintura de cavallet $ pintura $ paisatge natural | vegetació | planta | angiospermes $ pintura","material tèxtil | drap","dena $ indumentària | accessori d'indumentària | accessori de mà | mocador $ retrat $ element arquitectònic | element estructural | element estructural de tancat | component de mur | component decoratiu del mur | medalló $ moble | seient | seient individual | cadira | cadira de braços $ component biològic | part de planta | flor $ pintura | pintura de cavallet $ pintura $ pintura","fulla","flor","test_id","change leaf for flower."
"art_002582","art_003913","material tèxtil | drap","bodegó $ contenidor | atuell | pot $ contenidor | atuell | pitxell $ component biològic | part de planta | flor $ component biològic | part de planta | fulla $ contenidor | contenidor culinari | recipient per beure | tassa $ pintura | pintura de cavallet $ pintura $ paisatge natural | vegetació | planta | angiospermes $ pintura","material tèxtil | drap","contenidor | contenidor culinari | recipient per beure | vas $ contenidor | contenidor culinari | plat | plat $ component biològic | part de planta | flor $ contenidor | contenidor culinari | atuell per a condiments | saler | saler obert $ pintura | pintura de cavallet $ pintura $ pintura","tassa","vas","test_id","change cup for glass."
"art_002639","art_010762",,"estructura residencial | habitatge | casa $ paisatge cultural | paisatge suburbà $ paisatge natural | vegetació | planta | planta fustera | arbre $ pintura | pintura de cavallet $ pintura $ pintura",,"estructura residencial | habitatge | casa $ element arquitectònic | element estructural | element estructural de tancat | mur $ paisatge cultural | paisatge urbà $ paisatge natural | vegetació | planta | planta fustera | arbre $ element arquitectònic | element estructural | element estructural de tancat | sostre $ pintura | pintura de cavallet $ pintura $ pintura","paisatge suburbà","paisatge urbà","test_id","change suburban landscape for urban landscape."
"art_002639","art_061714, art_061862, art_167822, art_167825",,"estructura residencial | habitatge | casa $ paisatge cultural | paisatge suburbà $ paisatge natural | vegetació | planta | planta fustera | arbre $ pintura | pintura de cavallet $ pintura $ pintura",,"pintura | il·luminació","pintura de cavallet","il·luminació","test_id","change easel painting for lighting."
"art_002639","art_021032",,"estructura residencial | habitatge | casa $ paisatge cultural | paisatge suburbà $ paisatge natural | vegetació | planta | planta fustera | arbre $ pintura | pintura de cavallet $ pintura $ pintura",,"retrat $ pintura | pintura a l'oli","pintura de cavallet","pintura a l'oli","test_id","change easel painting for oil painting."
"art_002653","art_014379, art_014182, art_009415, art_004960",,"retrat $ arma | arma de percussió | garrot $ indumentària | accessori d'indumentària | accessori de vestir | pentinat | tall de pèl facial | barba $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | accessori d'indumentària | accessori de vestir | pentinat | tall de pèl facial | bigoti $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura","barba","bigoti","test_id","change beard for moustache."
"art_002653","art_061714, art_061862, art_167822, art_167825",,"retrat $ arma | arma de percussió | garrot $ indumentària | accessori d'indumentària | accessori de vestir | pentinat | tall de pèl facial | barba $ pintura | pintura de cavallet $ pintura $ pintura",,"pintura | il·luminació","pintura de cavallet","il·luminació","test_id","change easel painting for lighting."
"art_002653","art_021032",,"retrat $ arma | arma de percussió | garrot $ indumentària | accessori d'indumentària | accessori de vestir | pentinat | tall de pèl facial | barba $ pintura | pintura de cavallet $ pintura $ pintura",,"retrat $ pintura | pintura a l'oli","pintura de cavallet","pintura a l'oli","test_id","change easel painting for oil painting."
"art_002659","jewelry_018140",,"indumentària | peça de vestir | peça de roba principal | camisa $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | accessori d'indumentària | accessori de vestir | joia | anell $ retrat $ indumentària | accessori d'indumentària | accessori de vestir | accessori per al coll | coll $ indumentària | accessori d'indumentària | accessori de vestir | joia | joia emprada en el vestuari | agulla | fermall $ llibre $ retrat | retrat de grup","autoretrat","retrat de grup","test_id","change self-portrait for group portrait."
"art_002659","costume_006821, costume_011928",,"indumentària | peça de vestir | peça de roba principal | camisa $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | peça de vestir | peça de roba principal | camisa $ indumentària | peça de vestir | peça de roba principal | armilla $ indumentària | accessori d'indumentària | accessori de vestir | accessori per al coll $ indumentària | peça de vestir | roba interior | samarreta interior $ indumentària | peça de vestir | peça de roba principal | vestit $ indumentària","camisa","armilla","test_id","change shirt for waistcoat."
"art_002659","costume_035332, costume_035353, costume_010133, costume_011550",,"indumentària | peça de vestir | peça de roba principal | camisa $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | roba esportiva $ indumentària | roba esportiva | roba de platja | vestit de bany $ indumentària | roba esportiva | roba de platja | banyador","camisa","banyador","test_id","change shirt for swimsuit."
"art_002659","costume_035473",,"indumentària | peça de vestir | peça de roba principal | camisa $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | peça de vestir | peça de roba principal | brusa","camisa","brusa","test_id","change shirt for blouse."
"art_002659","art_009415",,"indumentària | peça de vestir | peça de roba principal | camisa $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | peça de vestir | peça de roba principal | caftà $ subjecció | botó $ retrat $ indumentària | accessori d'indumentària | accessori de vestir | pentinat | tall de pèl facial | bigoti $ indumentària | accessori d'indumentària | accessori de vestir | pentinat | tall de pèl facial | barba $ component biològic | component animal o humà | cap $ artefacte d'identificació | símbol d'ofici o estatus | ceptre $ indumentària | accessori d'indumentària | accessori de vestir | lligadura | gorra | casquet | gorra d'estudiant $ pintura | pintura de cavallet $ pintura $ pintura","camisa","caftà","test_id","change shirt for caftan."
"art_002659","art_160230, costume_011959",,"indumentària | peça de vestir | peça de roba principal | camisa $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"complex agrícola | granja $ indumentària | peça de vestir | peça de roba principal | faldilla $ obra d'art","camisa","faldilla","test_id","change shirt for skirt."
"art_002659","costume_011909, costume_011928, costume_011959",,"indumentària | peça de vestir | peça de roba principal | camisa $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | accessori d'indumentària | accessori de vestir | lligadura | indumentària per al cap | mocador de cap $ indumentària | accessori d'indumentària | accessori de vestir | calçat | sandàlia $ indumentària | peça de vestir | peça de roba principal | vestit $ contenidor | bossa $ indumentària | accessori d'indumentària | accessori de mà | bossa $ indumentària | peça de vestir | peça de roba principal | davantal $ indumentària | roba de protecció | davantal $ indumentària | accessori d'indumentària | accessori de vestir | cinturó $ indumentària | peça de vestir | peça de roba principal | jaqueta $ indumentària | roba de dona","camisa","jaqueta","test_id","change shirt for jacket."
"art_002659","art_016012",,"indumentària | peça de vestir | peça de roba principal | camisa $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | peça de vestir | peça de roba principal | camisa $ indumentària | peça de vestir | peça de roba principal | justacós $ figura | bust $ component biològic | component animal o humà | cap $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura","camisa","justacós","test_id","change shirt for justaucorps."
"art_002659","costume_011562",,"indumentària | peça de vestir | peça de roba principal | camisa $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | roba esportiva | barbote $ indumentària | peça de vestir | peça de roba principal | pantalons curts $ indumentària | peça de vestir | peça de roba principal | pantalons curts | pantalons curts esportius","camisa","pantalons curts","test_id","change shirt for shorts."
"art_002659","art_076237, costume_002818, costume_006821, costume_010212, jewelry_000154, art_004684, costume_011909, costume_011959",,"indumentària | peça de vestir | peça de roba principal | camisa $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | peça de vestir | peça de roba principal | vestit $ indumentària | roba de nit $ dena","camisa","vestit","test_id","change shirt for dress."
"art_002659","jewelry_018181, costume_011928",,"indumentària | peça de vestir | peça de roba principal | camisa $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | accessori d'indumentària | accessori de vestir | lligadura | barret | bonet $ indumentària | accessori d'indumentària | accessori de vestir | lligadura | gorra | casquet interior $ indumentària | peça de vestir | peça de roba principal | vestit jaqueta $ indumentària | peça de vestir | peça de roba principal | vestit jaqueta | vestit de carrer $ retrat $ instrument de mesura | indicador de temps | rellotge portàtil","camisa","vestit jaqueta","test_id","change shirt for jacket suit."
"art_002659","art_061714, art_061862, art_167822, art_167825",,"indumentària | peça de vestir | peça de roba principal | camisa $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"pintura | il·luminació","pintura de cavallet","il·luminació","test_id","change easel painting for lighting."
"art_002659","art_021032",,"indumentària | peça de vestir | peça de roba principal | camisa $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"retrat $ pintura | pintura a l'oli","pintura de cavallet","pintura a l'oli","test_id","change easel painting for oil painting."
"art_002662","jewelry_018140",,"indumentària | peça de vestir | peça de roba principal | camisa $ figura | bust $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | accessori d'indumentària | accessori de vestir | joia | anell $ retrat $ indumentària | accessori d'indumentària | accessori de vestir | accessori per al coll | coll $ indumentària | accessori d'indumentària | accessori de vestir | joia | joia emprada en el vestuari | agulla | fermall $ llibre $ retrat | retrat de grup","autoretrat","retrat de grup","test_id","change self-portrait for group portrait."
"art_002662","art_007332, art_008562",,"indumentària | peça de vestir | peça de roba principal | camisa $ figura | bust $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"estampa $ art $ figura | nu","bust","nu","test_id","change bust for nude."
"art_002662","costume_006821, costume_011928",,"indumentària | peça de vestir | peça de roba principal | camisa $ figura | bust $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | peça de vestir | peça de roba principal | camisa $ indumentària | peça de vestir | peça de roba principal | armilla $ indumentària | accessori d'indumentària | accessori de vestir | accessori per al coll $ indumentària | peça de vestir | roba interior | samarreta interior $ indumentària | peça de vestir | peça de roba principal | vestit $ indumentària","camisa","armilla","test_id","change shirt for waistcoat."
"art_002662","costume_035332, costume_035353, costume_010133, costume_011550",,"indumentària | peça de vestir | peça de roba principal | camisa $ figura | bust $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | roba esportiva $ indumentària | roba esportiva | roba de platja | vestit de bany $ indumentària | roba esportiva | roba de platja | banyador","camisa","banyador","test_id","change shirt for swimsuit."
"art_002662","costume_035473",,"indumentària | peça de vestir | peça de roba principal | camisa $ figura | bust $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | peça de vestir | peça de roba principal | brusa","camisa","brusa","test_id","change shirt for blouse."
"art_002662","art_009415",,"indumentària | peça de vestir | peça de roba principal | camisa $ figura | bust $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | peça de vestir | peça de roba principal | caftà $ subjecció | botó $ retrat $ indumentària | accessori d'indumentària | accessori de vestir | pentinat | tall de pèl facial | bigoti $ indumentària | accessori d'indumentària | accessori de vestir | pentinat | tall de pèl facial | barba $ component biològic | component animal o humà | cap $ artefacte d'identificació | símbol d'ofici o estatus | ceptre $ indumentària | accessori d'indumentària | accessori de vestir | lligadura | gorra | casquet | gorra d'estudiant $ pintura | pintura de cavallet $ pintura $ pintura","camisa","caftà","test_id","change shirt for caftan."
"art_002662","art_160230, costume_011959",,"indumentària | peça de vestir | peça de roba principal | camisa $ figura | bust $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"complex agrícola | granja $ indumentària | peça de vestir | peça de roba principal | faldilla $ obra d'art","camisa","faldilla","test_id","change shirt for skirt."
"art_002662","costume_011909, costume_011928, costume_011959",,"indumentària | peça de vestir | peça de roba principal | camisa $ figura | bust $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | accessori d'indumentària | accessori de vestir | lligadura | indumentària per al cap | mocador de cap $ indumentària | accessori d'indumentària | accessori de vestir | calçat | sandàlia $ indumentària | peça de vestir | peça de roba principal | vestit $ contenidor | bossa $ indumentària | accessori d'indumentària | accessori de mà | bossa $ indumentària | peça de vestir | peça de roba principal | davantal $ indumentària | roba de protecció | davantal $ indumentària | accessori d'indumentària | accessori de vestir | cinturó $ indumentària | peça de vestir | peça de roba principal | jaqueta $ indumentària | roba de dona","camisa","jaqueta","test_id","change shirt for jacket."
"art_002662","art_016012",,"indumentària | peça de vestir | peça de roba principal | camisa $ figura | bust $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | peça de vestir | peça de roba principal | camisa $ indumentària | peça de vestir | peça de roba principal | justacós $ figura | bust $ component biològic | component animal o humà | cap $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura","camisa","justacós","test_id","change shirt for justaucorps."
"art_002662","costume_011562",,"indumentària | peça de vestir | peça de roba principal | camisa $ figura | bust $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | roba esportiva | barbote $ indumentària | peça de vestir | peça de roba principal | pantalons curts $ indumentària | peça de vestir | peça de roba principal | pantalons curts | pantalons curts esportius","camisa","pantalons curts","test_id","change shirt for shorts."
"art_002662","art_076237, costume_002818, costume_006821, costume_010212, jewelry_000154, art_004684, costume_011909, costume_011959",,"indumentària | peça de vestir | peça de roba principal | camisa $ figura | bust $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | peça de vestir | peça de roba principal | vestit $ indumentària | roba de nit $ dena","camisa","vestit","test_id","change shirt for dress."
"art_002662","jewelry_018181, costume_011928",,"indumentària | peça de vestir | peça de roba principal | camisa $ figura | bust $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | accessori d'indumentària | accessori de vestir | lligadura | barret | bonet $ indumentària | accessori d'indumentària | accessori de vestir | lligadura | gorra | casquet interior $ indumentària | peça de vestir | peça de roba principal | vestit jaqueta $ indumentària | peça de vestir | peça de roba principal | vestit jaqueta | vestit de carrer $ retrat $ instrument de mesura | indicador de temps | rellotge portàtil","camisa","vestit jaqueta","test_id","change shirt for jacket suit."
"art_002662","art_061714, art_061862, art_167822, art_167825",,"indumentària | peça de vestir | peça de roba principal | camisa $ figura | bust $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"pintura | il·luminació","pintura de cavallet","il·luminació","test_id","change easel painting for lighting."
"art_002662","art_021032",,"indumentària | peça de vestir | peça de roba principal | camisa $ figura | bust $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura",,"retrat $ pintura | pintura a l'oli","pintura de cavallet","pintura a l'oli","test_id","change easel painting for oil painting."
"art_002677","art_003447",,"estructura residencial | habitatge | casa $ paisatge $ paisatge natural | relleu terrestre | muntanya $ pintura",,"paisatge $ torre $ estructura industrial | estructura de metal·listeria | alt forn $ paisatge natural | relleu terrestre | turó $ pintura | pintura de cavallet $ pintura $ pintura","muntanya","turó","test_id","change mountain for hill."
"art_002681","furniture_001282, art_004684",,"publicació | sèrie | diari $ pintura | pintura de cavallet $ pintura $ moble | seient | seient individual | cadira $ pintura",,"moble $ divisa | escut d'armes i element d'escuts d'armes | escut d'armes $ moble | seient | seient individual | cadira | cadira de braços","cadira","cadira de braços","test_id","change chair for armchair."
"art_002681","art_016792",,"publicació | sèrie | diari $ pintura | pintura de cavallet $ pintura $ moble | seient | seient individual | cadira $ pintura",,"publicació | sèrie | publicació periòdica","diari","publicació periòdica","test_id","change diary for periodical publication."
"art_002681","art_061608, art_061714, art_061862, art_167822, art_167825",,"publicació | sèrie | diari $ pintura | pintura de cavallet $ pintura $ moble | seient | seient individual | cadira $ pintura",,"pintura | il·luminació","pintura de cavallet","il·luminació","test_id","change easel painting for lighting."
"art_002681","art_021032",,"publicació | sèrie | diari $ pintura | pintura de cavallet $ pintura $ moble | seient | seient individual | cadira $ pintura",,"retrat $ pintura | pintura a l'oli","pintura de cavallet","pintura a l'oli","test_id","change easel painting for oil painting."
"art_002685","art_061608, art_061714, art_061862, art_167822, art_167825",,"paisatge natural | vegetació | conjunt de plantes natives | bosc $ pintura | pintura de cavallet $ pintura $ pintura",,"pintura | il·luminació","pintura de cavallet","il·luminació","test_id","change easel painting for lighting."
"art_002685","art_021032",,"paisatge natural | vegetació | conjunt de plantes natives | bosc $ pintura | pintura de cavallet $ pintura $ pintura",,"retrat $ pintura | pintura a l'oli","pintura de cavallet","pintura a l'oli","test_id","change easel painting for oil painting."
"art_002740","art_179496, furniture_017916, furniture_017922, furniture_017924, furniture_017923",,"obra literària | mitologia $ paisatge $ figura | nu $ pintura | pintura de cavallet $ pintura $ pintura",,"obra literària | monografia $ complex agrícola | granja","mitologia","monografia","test_id","change mythology for monograph."
"art_002740","art_002662, art_016012",,"obra literària | mitologia $ paisatge $ figura | nu $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | peça de vestir | peça de roba principal | camisa $ figura | bust $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura","nu","bust","test_id","change nude for bust."
"art_002740","art_061481, art_061608, art_061714, art_061862, art_167822, art_167825",,"obra literària | mitologia $ paisatge $ figura | nu $ pintura | pintura de cavallet $ pintura $ pintura",,"pintura | il·luminació","pintura de cavallet","il·luminació","test_id","change easel painting for lighting."
"art_002740","art_021032",,"obra literària | mitologia $ paisatge $ figura | nu $ pintura | pintura de cavallet $ pintura $ pintura",,"retrat $ pintura | pintura a l'oli","pintura de cavallet","pintura a l'oli","test_id","change easel painting for oil painting."
"art_002877","art_021003","paper | cartró | cartolina","paisatge $ paisatge natural | massa d'aigua | mar $ paisatge natural | vegetació | planta | planta fustera | arbre $ pintura | pintura de cavallet $ pintura $ pintura","paper | cartró | cartolina","paisatge $ pintura | pintura a l'oli","pintura de cavallet","pintura a l'oli","test_id","change easel painting for oil painting."
"art_002963","art_061481, art_061608, art_061714, art_061862, art_167822, art_167825",,"indumentària | peça de vestir | peça de roba principal | vestit $ paisatge $ estructura industrial | estructura de metal·listeria | alt forn $ pintura | pintura de cavallet $ pintura $ pintura",,"pintura | il·luminació","pintura de cavallet","il·luminació","test_id","change easel painting for lighting."
"art_002963","art_021032",,"indumentària | peça de vestir | peça de roba principal | vestit $ paisatge $ estructura industrial | estructura de metal·listeria | alt forn $ pintura | pintura de cavallet $ pintura $ pintura",,"retrat $ pintura | pintura a l'oli","pintura de cavallet","pintura a l'oli","test_id","change easel painting for oil painting."
"art_002963","costume_006821, costume_011928",,"indumentària | peça de vestir | peça de roba principal | vestit $ paisatge $ estructura industrial | estructura de metal·listeria | alt forn $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | peça de vestir | peça de roba principal | camisa $ indumentària | peça de vestir | peça de roba principal | armilla $ indumentària | accessori d'indumentària | accessori de vestir | accessori per al coll $ indumentària | peça de vestir | roba interior | samarreta interior $ indumentària | peça de vestir | peça de roba principal | vestit $ indumentària","vestit","armilla","test_id","change dress for waistcoat."
"art_002963","costume_035332, costume_035353, costume_010133, costume_011550",,"indumentària | peça de vestir | peça de roba principal | vestit $ paisatge $ estructura industrial | estructura de metal·listeria | alt forn $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | roba esportiva $ indumentària | roba esportiva | roba de platja | vestit de bany $ indumentària | roba esportiva | roba de platja | banyador","vestit","banyador","test_id","change dress for swimsuit."
"art_002963","costume_035473",,"indumentària | peça de vestir | peça de roba principal | vestit $ paisatge $ estructura industrial | estructura de metal·listeria | alt forn $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | peça de vestir | peça de roba principal | brusa","vestit","brusa","test_id","change dress for blouse."
"art_002963","art_009415",,"indumentària | peça de vestir | peça de roba principal | vestit $ paisatge $ estructura industrial | estructura de metal·listeria | alt forn $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | peça de vestir | peça de roba principal | caftà $ subjecció | botó $ retrat $ indumentària | accessori d'indumentària | accessori de vestir | pentinat | tall de pèl facial | bigoti $ indumentària | accessori d'indumentària | accessori de vestir | pentinat | tall de pèl facial | barba $ component biològic | component animal o humà | cap $ artefacte d'identificació | símbol d'ofici o estatus | ceptre $ indumentària | accessori d'indumentària | accessori de vestir | lligadura | gorra | casquet | gorra d'estudiant $ pintura | pintura de cavallet $ pintura $ pintura","vestit","caftà","test_id","change dress for caftan."
"art_002963","art_002662, art_002659, costume_006821, costume_006842, jewelry_000154, art_006453, art_016012",,"indumentària | peça de vestir | peça de roba principal | vestit $ paisatge $ estructura industrial | estructura de metal·listeria | alt forn $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | peça de vestir | peça de roba principal | camisa $ figura | bust $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura","vestit","camisa","test_id","change dress for shirt."
"art_002963","art_160230, costume_011959",,"indumentària | peça de vestir | peça de roba principal | vestit $ paisatge $ estructura industrial | estructura de metal·listeria | alt forn $ pintura | pintura de cavallet $ pintura $ pintura",,"complex agrícola | granja $ indumentària | peça de vestir | peça de roba principal | faldilla $ obra d'art","vestit","faldilla","test_id","change dress for skirt."
"art_002963","costume_011909, costume_011928, costume_011959",,"indumentària | peça de vestir | peça de roba principal | vestit $ paisatge $ estructura industrial | estructura de metal·listeria | alt forn $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | accessori d'indumentària | accessori de vestir | lligadura | indumentària per al cap | mocador de cap $ indumentària | accessori d'indumentària | accessori de vestir | calçat | sandàlia $ indumentària | peça de vestir | peça de roba principal | vestit $ contenidor | bossa $ indumentària | accessori d'indumentària | accessori de mà | bossa $ indumentària | peça de vestir | peça de roba principal | davantal $ indumentària | roba de protecció | davantal $ indumentària | accessori d'indumentària | accessori de vestir | cinturó $ indumentària | peça de vestir | peça de roba principal | jaqueta $ indumentària | roba de dona","vestit","jaqueta","test_id","change dress for jacket."
"art_002963","art_016012",,"indumentària | peça de vestir | peça de roba principal | vestit $ paisatge $ estructura industrial | estructura de metal·listeria | alt forn $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | peça de vestir | peça de roba principal | camisa $ indumentària | peça de vestir | peça de roba principal | justacós $ figura | bust $ component biològic | component animal o humà | cap $ retrat | autoretrat $ pintura | pintura de cavallet $ pintura $ pintura","vestit","justacós","test_id","change dress for justaucorps."
"art_002963","costume_011562",,"indumentària | peça de vestir | peça de roba principal | vestit $ paisatge $ estructura industrial | estructura de metal·listeria | alt forn $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | roba esportiva | barbote $ indumentària | peça de vestir | peça de roba principal | pantalons curts $ indumentària | peça de vestir | peça de roba principal | pantalons curts | pantalons curts esportius","vestit","pantalons curts","test_id","change dress for shorts."
"art_002963","costume_041188",,"indumentària | peça de vestir | peça de roba principal | vestit $ paisatge $ estructura industrial | estructura de metal·listeria | alt forn $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | peça de vestir | peça de roba principal | vestit | vestit de bateig $ indumentària | accessori d'indumentària | accessori de vestir | lligadura","vestit","vestit de bateig","test_id","change dress for baptism dress."
"art_002963","art_031496",,"indumentària | peça de vestir | peça de roba principal | vestit $ paisatge $ estructura industrial | estructura de metal·listeria | alt forn $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | peça de vestir | peça de roba principal | vestit | vestit de núvia","vestit","vestit de núvia","test_id","change dress for wedding dress."
"art_002963","jewelry_018181, costume_011928",,"indumentària | peça de vestir | peça de roba principal | vestit $ paisatge $ estructura industrial | estructura de metal·listeria | alt forn $ pintura | pintura de cavallet $ pintura $ pintura",,"indumentària | accessori d'indumentària | accessori de vestir | lligadura | barret | bonet $ indumentària | accessori d'indumentària | accessori de vestir | lligadura | gorra | casquet interior $ indumentària | peça de vestir | peça de roba principal | vestit jaqueta $ indumentària | peça de vestir | peça de roba principal | vestit jaqueta | vestit de carrer $ retrat $ instrument de mesura | indicador de temps | rellotge portàtil","vestit","vestit jaqueta","test_id","change dress for jacket suit."
